City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
26,Hithadhoo,MV,-0.6,73.0833,81.28,65,100,1.77,overcast clouds
27,Zavodskoy,RU,43.4597,132.2922,6.39,60,8,6.71,clear sky
28,Shumyachi,RU,53.8583,32.4242,23.23,94,100,5.5,overcast clouds
29,San Policarpo,PH,12.1791,125.5072,78.96,84,22,4.94,few clouds
30,Salalah,OM,17.0151,54.0924,73.49,68,0,4.61,clear sky
31,Jamestown,US,42.097,-79.2353,18.52,48,20,5.01,few clouds
32,Atuona,PF,-9.8,-139.0333,77.23,80,29,14.54,light rain
33,Bikin,RU,46.8161,134.26,-23.26,100,25,2.28,scattered clouds
34,Bluff,NZ,-46.6,168.3333,61.81,88,100,6.85,overcast clouds
35,Coihueco,CL,-36.6167,-71.8333,87.19,24,0,7.96,clear sky
36,Butaritari,KI,3.0707,172.7902,81.75,77,12,19.33,light rain
37,New Norfolk,AU,-42.7826,147.0587,58.5,99,22,1.23,few clouds
38,Vestmannaeyjar,IS,63.4427,-20.2734,40.24,66,100,17.72,overcast clouds
39,Nefteyugansk,RU,61.0998,72.6035,-1.86,95,100,5.35,overcast clouds
40,San Patricio,US,28.017,-97.5169,65.16,28,8,3.71,clear sky
41,Saint George,US,37.1041,-113.5841,56.35,22,0,1.99,clear sky
42,Kidal,ML,18.4411,1.4078,72.34,11,15,10.31,few clouds
43,Filadelfia,US,39.9523,-75.1638,23.43,79,100,5.01,overcast clouds
44,Khartoum,SD,15.5518,32.5324,69.03,19,5,1.01,clear sky
45,Olga,RU,43.7444,135.2892,8.44,58,6,12.55,clear sky
46,Hobart,AU,-42.8794,147.3294,58.86,72,100,9.22,overcast clouds
47,Aklavik,CA,68.2191,-135.0107,-15.77,76,75,4.61,broken clouds
48,Berlin,DE,52.5244,13.4105,49.32,89,75,32.01,broken clouds
49,Lebu,CL,-37.6167,-73.65,64.9,74,3,8.52,clear sky
50,Tarakan,ID,3.3,117.6333,76.5,94,20,2.3,few clouds
51,Bose,IT,45.4612,8.0137,45.25,56,98,1.68,overcast clouds
52,Tasiilaq,GL,65.6145,-37.6368,12.36,77,82,4.34,broken clouds
53,Khatanga,RU,71.9667,102.5,-4.16,99,100,5.01,overcast clouds
54,Nioro,GM,13.35,-15.75,89.76,12,68,6.31,broken clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,78,40,12.66,thunderstorm
56,Skjervoy,NO,70.0311,20.9714,26.82,66,7,15.12,clear sky
